Seurat_Clusters	annotation
0	FB_alveolar
1	Bcell
2	Epi_AT2
3	Epi_AT2
4	Endo_capillary
5	Endo_capillary
6	FB_alveolar
7	Mac_AM
8	Endo_capillary
9	doublet
10	Epi_AT1
11	Endo_capillary
12	Pericyte
13	doublet
14	Tcell_CD4T
15	Endo_aerocyte
16	FB_alveolar
17	FB_alveolar
18	SMC
19	Endo_aerocyte
20	Bcell
21	FB_adventitial
22	DC/IM
23	Tcell_CD8T
24	Mo_Ly6Clo
25	Epi_ciliated
26	Endo_venous
27	Neutrophil
28	FB_peribronchiolar
29	Mo_Ly6Chi
30	Mesothelial
31	Epi_AT2
32	NK
33	Tcell_gdT
34	Mac_IM
35	Epi_clara
36	Endo_LEC
37	Endo_arterial
